uid,restaurant_id,category_id,name,description,image_url,price_minor,food_type,spice_level,is_available,is_bestseller,prep_time_mins,sort_order,status
itm_dummy_053,1,4,Dummy Dish 053,Sample menu item 053,,15300,veg,medium,true,false,9,53,active
itm_dummy_054,1,5,Dummy Dish 054,Sample menu item 054,,15400,non_veg,hot,true,false,13,54,active
itm_dummy_055,1,6,Dummy Dish 055,Sample menu item 055,,15500,veg,mild,true,true,7,55,active
itm_dummy_056,1,7,Dummy Dish 056,Sample menu item 056,,15600,egg,,true,false,6,56,active
itm_dummy_057,1,1,Dummy Dish 057,Sample menu item 057,,15700,veg,mild,true,false,8,57,active
itm_dummy_058,1,2,Dummy Dish 058,Sample menu item 058,,15800,non_veg,medium,true,false,12,58,active
itm_dummy_059,1,3,Dummy Dish 059,Sample menu item 059,,15900,egg,hot,true,false,10,59,active
itm_dummy_060,1,4,Dummy Dish 060,Sample menu item 060,,16000,veg,medium,false,true,9,60,active
itm_dummy_061,1,5,Dummy Dish 061,Sample menu item 061,,16100,non_veg,hot,true,false,13,61,active
itm_dummy_062,1,6,Dummy Dish 062,Sample menu item 062,,16200,veg,mild,true,false,7,62,active
itm_dummy_063,1,7,Dummy Dish 063,Sample menu item 063,,16300,egg,,true,false,6,63,active
itm_dummy_064,1,1,Dummy Dish 064,Sample menu item 064,,16400,veg,medium,true,false,8,64,active
itm_dummy_065,1,2,Dummy Dish 065,Sample menu item 065,,16500,non_veg,hot,true,true,12,65,active
itm_dummy_066,1,3,Dummy Dish 066,Sample menu item 066,,16600,egg,mild,true,false,10,66,active
itm_dummy_067,1,4,Dummy Dish 067,Sample menu item 067,,16700,veg,medium,true,false,9,67,active
itm_dummy_068,1,5,Dummy Dish 068,Sample menu item 068,,16800,non_veg,hot,true,false,13,68,active
itm_dummy_069,1,6,Dummy Dish 069,Sample menu item 069,,16900,veg,mild,true,false,7,69,active
itm_dummy_070,1,7,Dummy Dish 070,Sample menu item 070,,17000,egg,,false,true,6,70,active
itm_dummy_071,1,1,Dummy Dish 071,Sample menu item 071,,17100,veg,mild,true,false,8,71,active
itm_dummy_072,1,2,Dummy Dish 072,Sample menu item 072,,17200,non_veg,medium,true,false,12,72,active
itm_dummy_073,1,3,Dummy Dish 073,Sample menu item 073,,17300,egg,hot,true,false,10,73,active
itm_dummy_074,1,4,Dummy Dish 074,Sample menu item 074,,17400,veg,medium,true,false,9,74,active
itm_dummy_075,1,5,Dummy Dish 075,Sample menu item 075,,17500,non_veg,hot,true,true,13,75,active
itm_dummy_076,1,6,Dummy Dish 076,Sample menu item 076,,17600,veg,mild,true,false,7,76,active
itm_dummy_077,1,7,Dummy Dish 077,Sample menu item 077,,17700,egg,,true,false,6,77,active
itm_dummy_078,1,1,Dummy Dish 078,Sample menu item 078,,17800,veg,medium,true,false,8,78,active
itm_dummy_079,1,2,Dummy Dish 079,Sample menu item 079,,17900,non_veg,hot,true,false,12,79,active
itm_dummy_080,1,3,Dummy Dish 080,Sample menu item 080,,18000,egg,mild,false,true,10,80,active
itm_dummy_081,1,4,Dummy Dish 081,Sample menu item 081,,18100,veg,medium,true,false,9,81,active
itm_dummy_082,1,5,Dummy Dish 082,Sample menu item 082,,18200,non_veg,hot,true,false,13,82,active
itm_dummy_083,1,6,Dummy Dish 083,Sample menu item 083,,18300,veg,mild,true,false,7,83,active
itm_dummy_084,1,7,Dummy Dish 084,Sample menu item 084,,18400,egg,,true,false,6,84,active
itm_dummy_085,1,1,Dummy Dish 085,Sample menu item 085,,18500,veg,mild,true,true,8,85,active
itm_dummy_086,1,2,Dummy Dish 086,Sample menu item 086,,18600,non_veg,medium,true,false,12,86,active
itm_dummy_087,1,3,Dummy Dish 087,Sample menu item 087,,18700,egg,hot,true,false,10,87,active
itm_dummy_088,1,4,Dummy Dish 088,Sample menu item 088,,18800,veg,medium,true,false,9,88,active
itm_dummy_089,1,5,Dummy Dish 089,Sample menu item 089,,18900,non_veg,hot,true,false,13,89,active
itm_dummy_090,1,6,Dummy Dish 090,Sample menu item 090,,19000,veg,mild,false,true,7,90,active
itm_dummy_091,1,7,Dummy Dish 091,Sample menu item 091,,19100,egg,,true,false,6,91,active
itm_dummy_092,1,1,Dummy Dish 092,Sample menu item 092,,19200,veg,medium,true,false,8,92,active
itm_dummy_093,1,2,Dummy Dish 093,Sample menu item 093,,19300,non_veg,hot,true,false,12,93,active
itm_dummy_094,1,3,Dummy Dish 094,Sample menu item 094,,19400,egg,mild,true,false,10,94,active
itm_dummy_095,1,4,Dummy Dish 095,Sample menu item 095,,19500,veg,medium,true,true,9,95,active
itm_dummy_096,1,5,Dummy Dish 096,Sample menu item 096,,19600,non_veg,hot,true,false,13,96,active
itm_dummy_097,1,6,Dummy Dish 097,Sample menu item 097,,19700,veg,mild,true,false,7,97,active
itm_dummy_098,1,7,Dummy Dish 098,Sample menu item 098,,19800,egg,,true,false,6,98,active
itm_dummy_099,1,1,Dummy Dish 099,Sample menu item 099,,19900,veg,mild,true,false,8,99,active
itm_dummy_100,1,2,Dummy Dish 100,Sample menu item 100,,20000,non_veg,medium,false,true,12,100,active
